avert,"verb: turn awayverb: ward off or prevent","Afraid to see the aftermath of the car crash, I averted my eyes as we drove by.The struggling videogame company put all of its finances into one final, desperate project to avert bankruptcy."
banality,noun: a trite or obvious remark,Herbert regarded the minister's remark as a mere banality until Sharon pointed out profound implications to the seemingly obvious words.
base,"adjective: the lowest, class were without any moral principles",She was not so base as to begrudge the beggar the unwanted crumbs from her dinner plate.
bastardization,noun: an act that debases or corrupts,The movie World War Z is a complete bastardization of the book with little more in common than zombies and a title.
beatific,adjective: blissfully happy,"Often we imagine all monks to wear the beatific smile of the Buddha, but, like any of us, a monk can have a bad day and not look very happy."
becoming,"adjective: appropriate, and matches nicely",Her dress was becoming and made her look even more beautiful.
beg,verb: to evade or dodge (a question),By assuming that Charlie was headed to college—which he was not—Maggie begged the question when she asked him to which school he was headed in the Fall.
begrudge,"verb: to envy someone for possessing or enjoying somethingverb: to give reluctantly","Sitting all alone in his room, Harvey begrudged the happiness of the other children playing outside his window.We never begrudge money spent on ourselves."
behooves,verb: to be one's duty or obligation,"The teacher looked down at the student and said, ""It would behoove you to be in class on time and complete your homework, so that you don't repeat freshman English for a third straight year."""
belittle,"verb: lessen the importance, dignity, or reputation of","A good teacher will never belittle his students, but will instead empower them."
bellicose,adjective: warlike; inclined to quarrel,"Known for their bellicose ways, the Spartans were once the most feared people from Peloponnesus to Persia."
bemoan,verb: express discontent or a strong regret,"While the CFO carefully explained all the reasons for the cuts in benefits, after the meeting employees bemoaned the cuts as further evidence that management was against them."
benighted,adjective: fallen into a state of ignorance,"Far from being a period of utter benightedness, The Medieval Ages produced some great works of theological speculation."
bereft,"adjective: unhappy in love; suffering from unrequited loveadjective: sorrowful through loss or deprivation","After 64 years of marriage, William was bereft after the death of his wife.""You are not bereft if you haven't played on your Xbox in the past week,"" his mother said."
besiege,"verb: harass, as with questions or requests; cause to feel distressed or worried","After discovering a priceless artifact in her backyard, Jane was besieged by phone calls, emails, and reporters all trying to buy, hold or see the rare piece of history."
besotted,"adjective: strongly affectionate towardsadjective: very drunk","Even though her father did not approve, Juliet became besotted with the young Romeo.Never before have I seen my mom so besotted, and honestly, I hope it's the last time she drinks so much."
betray,"verb: to reveal or make known something, usually unintentionally","With the gold medal at stake, the gymnast awaited his turn, his quivering lip betraying his intense emotions."
bilious,adjective: irritable; always angry,"Rex was bilious all morning, and his face would only take on a look of contentedness when he’d had his morning cup of coffee."
bleak,adjective: having a depressing or gloomy outlook,Unremitting overcast skies tend to lead people to create bleak literature and lugubrious music — compare England’s band Radiohead to any band from Southern California.
blinkered,adjective: to have a limited outlook or understanding,"In gambling, the addict is easily blinkered by past successes and/or past failures, forgetting that the outcome of any one game is independent of the games that preceded it."
boorish,adjective: ill-mannered and coarse or contemptible in behavior or appearance,Bukowski was known for being a boorish drunk and alienating close friends and family.
bowdlerize,verb: edit by omitting or modifying parts considered indelicate,"To receive an R rating, the entire movie was bowdlerized because it contained so much violence and grotesque subject matter."
broadside,noun: a strong verbal attack,Political broadsides are usually strongest in the weeks leading up to a national election.
brusquely,"adverb: in a blunt, direct manner","Not one for social pleasantries, the Chief of Staff would brusquely ask his subordinates anything he wanted, even coffee."
bucolic,adjective: relating to the pleasant aspects of the country,"The noble families of England once owned vast expanses of beautiful, bucolic land."
bumbling,"adjective: lacking physical movement skills, especially with the hands","Within a week of starting, the bumbling new waiter was unceremoniously fired."
cadaverous,adjective: emaciated; gaunt,Some actors take challenging roles in which they have to lose so much weight that they appear cadaverous.
calumny,noun: making of a false statement meant to injure a person’s reputation,"With the presidential primaries well under way, the air is thick withcalumny, and the mud already waist-high."
candid,adjective: a straightforward and honest look at something,"Even with a perfect stranger, Charles was always candid and would rarely hold anything back."
candidness,noun: the quality of being honest and straightforward in attitude and speech,"Although I was unhappy that the relationship ended, I appreciated her candidness about why she was ready to move on from the relationship."
capacity,noun noun: the amount or volume something can hold ability (especially mental),"The hotel is full to maximum capacity; there are no empty rooms. Few birds have the capacity to recognize themselves when looking in a mirror; most act as though there is a second bird behind the glass."
capricious,adjective: determined by chance or impulse or whim rather than by necessity or reason,"Nearly every month our capricious CEO had a new plan to turn the company around, and none of them worked because we never gave them the time they needed to succeed."
carping,adjective: persistently petty and unjustified criticism,What seemed like incessant nagging and carping about my behavior from my mother turned out to be wise and useful advice that has served me well.
cataclysm,noun: an event resulting in great loss and misfortune,"The introduction of smallpox was a cataclysm for Native Americans, killing off more than half of their population."
catalyst,noun: something that speeds up an event,"Rosa Park’s refusal to give up her bus seat acted as a catalyst for the Civil Rights Movement, setting into motion historic changes for African-Americans."
cavalier,adjective: given to haughty disregard of others,Percy dismissed the issue with a cavalier wave of his hand.
celerity,"noun: speed, rapidity","We aim to respond to customers' questions with celerity and accuracy, with no longer than a 24 hour wait time."
cerebral,adjective: involving intelligence rather than emotions or instinct,"A cerebral analysis of most pop music finds it to be simple and childish, but that ignores the point--the music's effect on the listener."
chastise,verb: to reprimand harshly,"Though chastised for eating the snacks for the party, Lawrence shrugged off his mother’s harsh words, and continued to plow through jars of cookies and boxes of donuts."
chastise,verb: to reprimand harshly,"Though chastised for eating the snacks for the party, Lawrence shrugged off his mother’s harsh words, and continued to plow through jars of cookies and boxes of donuts."
chauvinism,noun: fanatical patriotism; belief that one's group/cause is superior to all other groups/causes,Vegetarians argue that man is chauvinistic in his belief that animals do not consciously feel the pain we humans do.
chauvinist,noun: a person who believes in the superiority of their group,"The chauvinist lives on both sides of the political spectrum, outright shunning anybody whose ideas are not consistent with his own."
checkered,adjective: one that is marked by disreputable happenings,"One by one, the presidential candidates dropped out of the race, their respective checkered pasts— from embezzlement to infidelity—sabotaging their campaigns."
chimera,noun: something desired or wished for but is only an illusion and impossible to achieve,Many believe that a world free of war is a chimera—a dream that ignores humanity's violent tendencies.
chortle,"verb: to chuckle, laugh merrily","Walking past the bar, I could hear happy, chortling people and the blast of horns from a jazz band."
churlish,adjective: lacking manners or refinement,"The manager was unnecessarily churlish to his subordinates, rarely deigning to say hello, but always quick with a sartorial jab if someone happened to be wearing anything even slightly mismatching."
clemency,noun: leniency and compassion shown toward offenders by a person or agency charged with administering justice,"In the final moments of the trial, during his closing speech, Phillips was nearly begging the judge for clemency."
collusion,noun: agreement on a secret plot,"Many have argued that Lee Harvey Oswald, JFK's assassin, was in collusion with other criminals; others maintain that Oswald was a lone gunman."
commendable,adjective: worthy of high praise,The efforts of the firefighters running into the burning building were commendable.
complaisant,adjective: showing a cheerful willingness to do favors for others,"On her first day at the job, Annie was complaisant, fulfilling every request of her new employee and anticipating future requests."
complicit,"adjective: Associated with or participating in an activity, especially one of a questionable nature.","While the grand jury cleared the senator of all criminal charges, in the public mind he was still complicit in the corruption."
concomitant,adjective: describing an event or situation that happens at the same time as or in connection with another,Concomitant with his desire for nature was a desire for the culture and energy of a big city.
conniving,verb: taking part in immoral and unethical plots,"The queen was so conniving that, with the help of the prince, she tried to overthrow the king."
conniving,verb: taking part in immoral and unethical plots,"The queen was so conniving that, with the help of the prince, she tried to overthrow the king."
consecrate,verb: to make holy or set apart for a high purpose,"At the church of Notre Dame in France, the new High Altar was consecrated in 1182."
constituent,"noun: a citizen who is represented in a government by officials for whom he or she votesnoun: an abstract part of something","The mayor's constituents are no longer happy with her performance and plan to vote for another candidate in the upcoming election.The constituents of the metal alloy are nickel, copper, and tin."
constraint,noun: something that limits or restricts,"We don't have many resources, so we'll have to work with some very tight constraints."
construe,verb: interpreted in a particular way,The author's inability to take a side on the issue was construed by both his opponents and supporters as a sign of weakness.
contemptuous,"adjective: scornful, looking down at others with a sneering attitude","Always on the forefront of fashion, Vanessa looked contemptuously at anyone wearing dated clothing."
contingent,"noun: a gathering of persons representative of some larger groupadjective: possible but not certain to occur","A small contingent of those loyal to the king have gathered around the castle to defend it.Whether the former world champions can win again this year is contingent upon none of its star players getting injured."
contrition,noun: the feeling of remorse or guilt that comes from doing something bad,Those who show contrition during their prison terms--especially when under review by a parole board--often get shortened sentences.
contrive,"verb: to pull off a plan or scheme, usually through skill or trickery","Despite a low GPA, he contrived to get into college, going so far as to write his own glowing letters of recommendation."
convivial,adjective: describing a lively atmosphere,The wedding reception was convivial; friends who hadn't seen each other for ages drank and ate together before heading to the dance floor.
corollary,noun: a practical consequence that follows naturally,"A corollary of Hurricane Sandy, which ravaged the east coast of the U.S., is a push to build higher sea walls to protect against future hurricanes."
cosseted,verb: treat with excessive indulgence,"The king and queen cosseted the young prince, giving him a prized miniature pony for his fifth birthday."
coterminous,adjective: being of equal extent or scope or duration,The border of the state is coterminous with geographic limits on travel; the east and north are surrounded by a nearly uncrossable river and the south by a desert.
creditable,adjective: deserving of praise but not that amazing,"Critics agreed the movie was creditable, but few gave it more than three out of five stars."
credulity,noun: tendency to believe readily,Virginia's wide-eyed credulity as a five-year old was replaced by suspicion after she learned that Santa Claus didn't really exist.
crystallize,verb: cause to take on a definite and clear shape,Only after fifteen minutes of brainstorming did Samantha's ideas for the essay crystallize.
culminate,verb: reach the highest or most decisive point,"Beethoven's musical genius culminated in the 9th Symphony, which many consider his greatest work."
culpability,noun: a state of guilt,"Since John had left his banana peel at the top of the stairwell, he accepted culpability for Martha's broken leg."
cupidity,noun: greed for money,Some believe people that amassing as much wealth as possible is the meaning to life—yet they often realize that cupidity brings anything but happiness.
decimation,noun: destroying or killing a large part of the population,The decimation after atomic bombs were dropped on Hiroshima and Nagasaki is incomprehensible.
decorous,adjective: characterized by good taste in manners and conduct,"Sally's parties are decorous affairs, and instead of the usual beer and music, there is tea and intellectual conversation."
deferential,adjective: showing respect,"If you ever have the chance to meet the president, stand up straight and be deferential."
degrade,"verb: reduce in worth or character, usually verbally","Jesse had mockingly pointed out all of Nancy's faults in front of their friends, publicly degrading the poor girl."
demean,verb: to insult; to cause someone to lose dignity or respect,"At first the soccer players bantered back and forth, but as soon as one of the players became demeaning, calling the other's mother a water buffalo, the ref whipped out a red card."
demonstrative,adjective: given to or marked by the open expression of emotion,"When Sally told James that she wanted to break up with him, she expected he would react demonstratively, but he quietly nodded his head and left without saying a word."
demure,adjective: to be modest and shy,The portrait of her in a simple white blouse was sweet and demure.
denote,verb: be a sign or indication of; have as a meaning,"Even if the text is not visible, the red octagon denotes ""stop"" to all motorists in America."
derisive,adjective: abusing vocally; expressing contempt or ridicule,"I was surprised by her derisive tone; usually, she is sweet, soft spoken, and congenial."
derive,"verb: come from; be connected by a relationship of blood, for exampleverb: reason by deduction; establish by deduction","Many words in the English language are derived from Latin, including the word ""derive.""From the multiple set of footprints in the living room, the investigator derived an important clue: Sheila was not alone in the room at the time of the murder."
derogative,adjective: expressed as worthless or in negative terms,Never before have we seen a debate between two political candidates that was so derogative and filthy.
desiccated,"adjective: uninteresting, lacking vitality",Few novelists over 80 are able to produce anything more than desiccated works--boring shadows of former books.
desideratum,noun: something desired as a necessity,The desideratum of the environmental group is that motorists should rely on carpooling.
despite,preposition: even with (when an event is surprising because of some difficulty),We enjoyed our vacation despite the rain.
despot,noun: a cruel and oppressive dictator,"The Emperor Claudius was regarded as a fair-minded leader; his successor, Nero, was an absolute despot."
destitute,"adjective: poor enough to need help from othersadjective: completely wanting or lacking (usually ""destitute of"")","Jean Valjean, is at first destitute, but through the grace of a priest, he makes something of his life.Now that the mine is closed, the town is destitute of any economic activity."
detrimental,"adjective: (sometimes followed by ""to"") causing harm or injury","Many know that smoking is detrimental to your health, but processed sugar in large quantities is equally bad."
devolve,"verb: pass on or delegate to anotherverb: grow worse (usually ""devolve into"")","The company was full of managers known for devolving tasks to lower management, but never doing much work themselves.The dialogue between the two academics devolved into a downright bitter argument."
diabolical,adjective: to be extremely wicked like the devil,"The conspirators, willing to dispatch anyone who stood in their way, hatched a diabolical plan to take over the city."
dictatorial,adjective: expecting unquestioning obedience; characteristic of an absolute ruler,The coach was dictatorial in his approach: no players could ever argue or question his approach.
differentiate,"verb: be a distinctive feature, attribute, or trait (sometimes in positive sense)verb: evolve so as to lead to a new species or develop in a way most suited to the environment","Mozart's long melodic lines differentiate his compositions from other works of late 18th century music.Animals on Madagascar differentiated from other similar animal species due to many years of isolation on the island."
dilapidated,adjective: in terrible condition,The main house has been restored but the gazebo is still dilapidated and unuseable.
diminutive,"noun: to indicate smallnessadjective: very small","He prefers to be called a diminutive of his name: ""Bill"" instead of ""John William.""When he put on his father's suit and shoes, his appearance was that of a diminutive youth."
disenfranchise,verb: deprive of voting rights,The U.S. Constitution disenfranchised women until 1920 when they were given the right to vote.
disheartened,adjective: made less hopeful or enthusiastic,"After the visiting team scored nine times, the home team's fans were disheartened, some leaving the game early."
disingenuous,adjective: not straightforward; giving a false appearance of frankness,"Many adults think that they can lie to children, but kids are smart and know when people are disingenuous."
dispensation,noun: an exemption from a rule or obligation,"Since her father is a billionaire, she is given dispensation from many of the school's policies."
dissolution,noun: a living full of debauchery and indulgence in sensual pleasure,"Many Roman emperors were known for their dissolution, indulging in unspeakable desires of the flesh."
docile,adjective: easily handled or managed; willing to be taught or led or supervised or directed,Barnyard animals are considerably more docile than the wild animals.
dog,verb: to pursue relentlessly; to hound,"Throughout his life, he was dogged by insecurities that inhibited personal growth."
dogmatic,"adjective: highly opinionated, not accepting that your belief may not be correct","Bryan is dogmatic in his belief that the earth is flat, claiming that all pictures of a spherical earth are computer generated."
doleful,adjective: filled with or evoking sadness,"No event is more doleful than the passing of my mother; she was a shining star in my life, and it brings me great sadness to think that she is now gone."
doughty,adjective: brave; bold; courageous,I enjoy films in which a doughty group comes together to battle a force of evil.
dovetail,"verb: fit together tightly, as if by means of a interlocking joint","Although Darwin's evolution and Mendel's genetics were developed in isolation from one another, they dovetail very well."
duress,noun: compulsory force or threat,The witness said he signed the contract under duress and argued that the court should cancel the agreement.
economical,"adjective: avoiding waste, efficient","Journalists favor an economical style of writing, in which no unnecessary words are used and every sentence is as short as possible."
edifying,adjective: enlightening or uplifting so as to encourage intellectual or moral improvement,"I recently read an article in the Times about whether good literature is edifying or not; specifically, does reading more make a person more moral."
effervescent,adjective: marked by high spirits or excitement,"After the sales result, the manager was in an effervescent mood, letting several employees leave work early that day."
egotist,noun: a conceited and self-centered person,"An egotist, Natasha had few friends because of her inability to talk about anything except her dream of becoming the next American Idol."
egregious,adjective: standing out in negative way; shockingly bad,The dictator’s abuse of human rights was so egregious that many world leaders demanded that he be tried in an international court for genocide.
eke,"verb: To live off meager resources, to scrape by","Stranded in a cabin over the winter, Terry was able to eke out an existence on canned food."
elegiac,adjective: expressing sorrow,Few can listen to the elegiac opening bars of the Moonlight sonata without feeling the urge to cry.
elusive,adjective: difficult to capture or difficult to remember,Many first time skydivers say that describing the act of falling from the sky is elusive.
embellish,"verb: make more attractive by adding ornament, colour, etc.; make more beautiful","McCartney would write relatively straightforward lyrics, and Lennon would embellish them with puns and poetic images."
embroiled,adjective: involved in argument or contention,"These days we are never short of a D.C. politician embroiled in scandal—a welcome phenomenon for those who, having barely finished feasting on the sordid details of one imbroglio, can sink their teeth into a fresh one."
empathetic,adjective: showing understanding and ready comprehension of other peoples' states and emotions,Most discrimination and hatred is based on a lack of empathetic awareness of people that have the same aspirations and fears.
empiricism,"noun: any method that derives knowledge from experience, used in experimental science as a way to gain insight and knowledge",Empiricism does not always lead to knowledge; an experience or experiment may raise more questions than it answers.
enamor,verb: attraction or feeling of love,"She is completely enamored with Justin Bieber, and goes to all his concerts on the East coast."
enjoin,verb: give instructions to or direct somebody to do something with authority,The government agency enjoined the chemical company to clean up the hazardous dump it had created over the years.
enormity,noun: an act of extreme wickedness,The enormity of Pol Pot's regime is hard to capture in words--within months hundreds of thousands of Cambodians lost their lives.
entrenched,adjective: fixed firmly or securely,"By the time we reach 60-years old, most of our habits are so entrenched that it is difficult for us to change."
enumerate,"verb: determine the number or amount ofverb: specify individually, one by one","The survey enumerates the number of happy workers and the number of unhappy workers.I sat and listened as she enumerated all of the things she did not like about the past three months."
epiphany,noun: a sudden revelation or moment of insight,Gary one day had an epiphany that he was a people person; he prompty quit his factory job and began working as a salesman.
eponym,noun: the name derived from a person (real or imaginary); the person for whom something is named,"Alexandria, Egypt is an eponym because it is named after Alexander the Great."
equitable,adjective: fair to all parties as dictated by reason and conscience,The equitable distribution of ice cream to a group of 5 year olds will ensure little to no fighting—at least until the ice cream is gone.
equivocal,adjective: confusing or ambiguous,The findings of the study were equivocal—the two researchers had different opinions on what the results signified.
eradicate,verb: to completely destroy,"I tried eradicating the mosquitos in my apartment with a rolled up newspaper, but there were too many of them."
err,verb: to make an error,"He erred in thinking that ""indigent"" and ""indignant"" were synonyms."
ersatz,adjective: not real or genuine; phony,"The car dealer's ersatz laughter was immediately followed by a price quote, one that Shelley found highly inflated."
evenhanded,adjective: without partiality,Teachers often have trouble being evenhanded to all of their varied students.
excruciating,adjective: extremely painful,"After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain."
exegesis,"noun: critical explanation or analysis, especially of a text",The Bible is fertile ground for exegesis—over the past five centuries there have been as many interpretations as there are pages in the Old Testament.
exemplar,noun: something to be imitated,"Lena's homework is on the wall because it is an exemplar of clean, neat, and thoughtful work."
exemplify,"verb: be characteristic ofverb: clarify by giving an example of","Lincoln exemplified the best of not only America, but also the potential greatness that exists within each person.Please present some case studies that exemplify the results that you claim in your paper."
exiguity,noun: the quality of being meager,"After two months at sea, the exiguity of the ship's supplies forced them to search for fresh water and food."
expound,verb: add details or explanation; clarify the meaning; state in depth,"The CEO refused to expound on the decision to merge our department with another one, and so I quit."
expound,verb: add details or explanation; clarify the meaning; state in depth,"The CEO refused to expound on the decision to merge our department with another one, and so I quit."
expunge,verb: to eliminate completely,"When I turned 18, all of the shoplifting and jaywalking charges were expunged from my criminal record."
extenuating,adjective: making less guilty or more forgivable,The jury was hardly moved by the man’s plea that his loneliness was an extenuating factor in his crime of dognapping a prized pooch.
factious,"adjective: produced by, or characterized by internal dissension","The controversial bill proved factious, as dissension even within parties resulted"
factitious,adjective: artificial; not natural,The defendant’s story was largely factitious and did not accord with eyewitness testimonies
fell,adjective: terribly evil,"For fans of the Harry Potter series, the fell Lord Voldemort, who terrorized poor Harry for seven lengthy installments, has finally been vanquished by the forces of good—unless, that is, JK Rowling decides to come out of retirement."
ferret,verb: to search for something persistently,"Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words."
fete,verb: to celebrate a person,"After World War II, war heroes were feted at first but quickly forgotten."
finagle,verb: achieve something by means of trickery or devious methods,Steven was able to finagle one of the last seats on the train by convincing the conductor that his torn stub was actually a valid ticket.
firebrand,noun: someone who deliberately creates trouble,"Freddie is a firebrand: every time he walks into the office, he winds up at the center of heated argument."
fleece,verb: to deceive,Many people have been fleeced by Internet scams and never received their money back.
flippant,adjective: showing inappropriate levity,"Although Sam was trying to honor Mark's sense of humor, many found it quite flippant that he wore a comic nose and glasses mask to Mark's funeral."
flummox,verb: be a mystery or bewildering to,Mary's behavior completely flummoxes me: I never have any idea what her motivations might be.
flux,noun: a state of uncertainty about what should be done (usually following some important event),"Ever since Elvira resigned as the head of marketing, everything about our sales strategy has been in a state of flux."
foolhardy,adjective: marked by defiant disregard for danger or consequences,"The police regularly face dangerous situations, so for a police officer not to wear his bullet-proof vest is foolhardy."
forlorn,adjective: marked by or showing hopelessness,"After her third pet dog died, Marcia was simply forlorn: this time even the possibility of buying a new dog no longer held any joy."
forthcoming,"adjective: available when required or as promisedadjective: at ease in talking to others","The President announced that the senators were about to reach a compromise, and that he was eager to read the forthcoming details of the bill.As a husband, Larry was not forthcoming: if Jill didn't demand to know details, Larry would never share them with her."
fortuitous,adjective: occurring by happy chance; having no cause or apparent cause,"While the real objects are vastly different sizes in space, the sun and the moon seem to have the same fortuitous size in the sky."
fractious,adjective: irritable and is likely to cause disruption,"We rarely invite my fractious Uncle over for dinner; he always complains about the food, and usually launches into a tirade on some touchy subject."
gambit,"noun: a maneuver or risk in a game or conversation, designed to secure an advantage","Randy played a gambit, telling his boss that he would leave at the end of the week if he didn't get a raise."
gerrymander,verb: to manipulate voting districts in order to favor a particular political party,"Years ago, savvy politicians had gerrymandered the city center to ensure their re-election."
glean,verb: collect information bit by bit,"Herb has given us no formal statement about his background, but from various hints, I have gleaned that he grew up in difficult circumstances."
guffaw,verb: laugh boisterously,"Whenever the jester fell to the ground in mock pain, the king guffawed, exposing his yellow, fang-like teeth."
guileless,adjective: free of deceit,"At first I thought my niece was guileless, but I then found myself buying her ice cream every time we passed a shop."
gumption,noun: resourcefulness and determination,"Wallace Stegner lamented the lack of gumption in the U.S. during the sixties, claiming that no young person knew the value of work."
hagiographic,adjective: excessively flattering toward someone's life or work,"Most accounts of Tiger Woods life were hagiographic, until, that is, his affairs made headlines."
hail,verb: enthusiastically acclaim or celebrate something,"Many college superstar athletes are hailed as the next big thing, but then flop at the professional level."
hamstrung,verb: made ineffective or powerless,"The FBI has made so many restrictions on the local police that they are absolutely hamstrung, unable to accomplish anything."
hamstrung,verb: made ineffective or powerless,"The FBI has made so many restrictions on the local police that they are absolutely hamstrung, unable to accomplish anything."
harried,adjective: troubled persistently especially with petty annoyances,"With a team of new hires to train, Martha was constantly harried with little questions and could not focus on her projects."
haughty,adjective: having or showing arrogant superiority to and disdain of those one views as unworthy,The haughty manager didn't believe that any of his subordinates could ever have an insight as brilliant his own.
hector,verb: to bully or intimidate,"The boss’s hectoring manner put off many employees, some of whom quit as soon as they found new jobs."
hedge,verb: to limit or qualify a statement; to avoid making a direct statement,"When asked why he had decided to buy millions of shares at the very moment the tech companies stock soared, the CEO hedged, mentioning something vague about gut instinct."
heretic,noun: a person who holds unorthodox opinions in any field (not merely religion),"Though everybody at the gym told Mikey to do cardio before weights, Mikey was a heretic and always did the reverse."
heyday,noun: the pinnacle or top of a time period or career,"During the heyday of Prohibition, bootlegging had become such a lucrative business that many who had been opposed to the 18th Amendment began to fear it would be repealed."
hound,verb: to pursue relentlessly,"An implacable foe of corruption, Eliot Ness hounded out graft in all forms—he even helped nab Al Capone."
